component_id,lot_id,value_0h_uA,value_24h_uA,value_96h_uA,value_168h_uA,static_limit_uA
C0001,L01,10.126,10.275,10.804,11.472,50
C0002,L01,9.891,10.106,10.882,11.673,50
C0003,L01,9.959,10.27,11.146,11.962,50
C0004,L01,9.776,10.042,10.726,11.273,50
C0005,L01,9.744,9.912,10.596,11.129,50
C0006,L01,9.692,9.899,10.543,11.119,50
C0007,L01,9.788,10.025,10.463,10.933,50
C0008,L01,9.991,10.327,11.335,12.297,50
C0009,L01,10.03,10.432,11.492,12.572,50
C0010,L01,9.693,9.996,10.687,11.409,50
C0011,L01,10.041,10.381,11.232,12.203,50
C0012,L01,9.878,10.075,10.637,11.351,50
C0013,L01,10.062,10.233,10.876,11.356,50
C0014,L01,10.223,10.545,11.47,12.585,50
C0015,L02,9.181,9.466,10.453,11.347,50
C0016,L02,9.121,9.333,9.895,10.526,50
C0017,L02,9.88,10.078,10.897,11.619,50
C0018,L02,8.912,9.009,9.5,10.039,50
C0019,L02,9.31,9.451,10.028,10.513,50
C0020,L02,9.968,10.246,11.342,12.439,50
C0021,L02,9.447,9.677,10.223,10.831,50
C0022,L02,9.348,9.777,10.848,11.967,50
C0023,L02,9.017,9.436,10.485,11.609,50
C0024,L02,9.534,9.754,10.304,10.916,50
C0025,L02,9.44,9.557,9.894,10.433,50
C0026,L02,9.858,10.172,11.115,12.24,50
C0027,L02,9.939,10.102,10.509,11.068,50
C0028,L02,9.722,9.893,10.428,10.893,50
C0029,L02,9.85,10.052,10.797,11.591,50
C0030,L02,9.044,9.338,10.024,10.665,50
C0031,L02,9.424,9.556,10.043,10.584,50
C0032,L02,9.079,9.212,9.828,10.351,50
C0033,L02,9.89,10.176,11.174,12.267,50
C0034,L03,7.553,7.921,8.937,9.997,50
C0035,L03,7.174,7.364,7.835,8.313,50
C0036,L03,7.722,7.902,8.402,8.763,50
C0037,L03,7.559,7.837,8.784,9.801,50
C0038,L03,6.854,7.036,7.675,8.133,50
C0039,L03,7.655,7.944,9.023,10.081,50
C0040,L03,6.703,6.908,7.354,7.83,50
C0041,L03,7.263,7.675,8.662,9.592,50
C0042,L03,7.154,7.563,8.619,9.767,50
C0043,L03,7.562,7.918,8.912,9.83,50
C0044,L03,6.947,7.14,7.526,7.954,50
C0045,L03,6.746,7.067,7.848,8.513,50
C0046,L03,7.295,7.578,8.537,9.672,50
C0047,L03,7.17,7.55,8.676,9.671,50
C0048,L03,6.784,7.095,7.964,8.809,50
C0049,L04,9.705,9.97,10.646,11.317,50
C0050,L04,10.321,10.476,11.06,11.668,50
C0051,L04,9.506,9.666,10.338,11.019,50
C0052,L04,10.473,10.655,11.42,12.169,50
C0053,L04,10.152,10.556,11.601,12.823,50
C0054,L04,9.778,10.147,10.983,11.797,50
C0055,L04,9.547,9.789,10.641,11.525,50
C0056,L04,9.663,9.923,10.81,11.8,50
C0057,L04,10.434,10.588,11.042,11.417,50
C0058,L04,10.344,10.605,11.544,12.448,50
C0059,L04,9.932,10.014,10.53,11.07,50
C0060,L04,10.073,10.43,11.392,12.332,50
C0061,L04,9.788,10.192,11.344,12.523,50
C0062,L04,9.67,9.815,10.482,11.19,50
C0063,L04,9.906,10.147,11.112,12.082,50
C0064,L04,10.59,10.986,11.906,12.981,50
C0065,L05,8.356,8.754,9.761,10.887,50
C0066,L05,7.523,7.93,8.934,10.073,50
C0067,L05,7.945,8.207,8.804,9.337,50
C0068,L05,7.625,7.902,8.664,9.277,50
C0069,L05,8.163,8.475,9.202,10.032,50
C0070,L05,7.532,7.86,9.083,10.155,50
C0071,L05,7.523,7.806,8.513,9.285,50
C0072,L05,8.007,8.255,8.915,9.677,50
C0073,L05,7.395,7.767,8.909,10.068,50
C0074,L05,8.198,8.365,9.092,9.744,50
C0075,L05,7.77,8.15,9.153,10.148,50
C0076,L05,7.883,8.093,8.74,9.442,50
C0077,L05,8.522,8.889,9.831,10.701,50
C0078,L05,8.051,8.163,8.581,9.033,50
C0079,L05,8.179,8.426,9.135,9.895,50
C0080,L05,8.475,8.76,9.682,10.691,50
C0081,L05,8.153,8.425,9.148,9.865,50
C0082,L06,6.925,7.152,7.64,8.172,50
C0083,L06,7.294,7.662,8.776,9.817,50
C0084,L06,7.227,7.435,8.052,8.68,50
C0085,L06,7.81,8.099,9.152,10.194,50
C0086,L06,7.305,7.646,8.403,9.145,50
C0087,L06,7.305,7.586,8.364,9.242,50
C0088,L06,7.279,7.677,8.681,9.802,50
C0089,L06,7.283,7.519,8.056,8.666,50
C0090,L06,7.756,8.008,8.636,9.203,50
C0091,L06,7.276,7.551,8.464,9.508,50
C0092,L06,6.845,7.007,7.478,7.947,50
C0093,L06,7.246,7.464,8.047,8.8,50
C0094,L06,7.215,7.611,8.501,9.582,50
C0095,L06,7.439,7.764,8.499,9.247,50
C0096,L06,7.818,8.168,9.249,10.357,50
C0097,L07,11.05,11.228,11.941,12.732,50
C0098,L07,11.272,11.451,11.927,12.509,50
C0099,L07,10.819,11.067,11.689,12.44,50
C0100,L07,10.95,11.137,11.877,12.57,50
C0101,L07,11.179,11.488,12.518,13.581,50
C0102,L07,11.09,11.181,11.68,12.296,50
C0103,L07,11.207,11.549,12.479,13.443,50
C0104,L07,11.926,12.046,12.552,13.034,50
C0105,L07,11.59,11.827,12.705,13.61,50
C0106,L07,10.988,11.315,12.107,13.056,50
C0107,L07,11.945,12.043,12.516,13.07,50
C0108,L07,11.937,12.208,12.841,13.606,50
C0109,L07,11.54,11.749,12.324,12.855,50
C0110,L07,10.932,11.355,12.464,13.587,50
C0111,L07,11.232,11.473,12.339,13.216,50
C0112,L07,10.914,11.308,12.498,13.674,50
C0113,L07,11.309,11.699,12.614,13.651,50
C0114,L08,9.187,9.543,10.534,11.497,50
C0115,L08,9.751,9.954,10.637,11.287,50
C0116,L08,9.431,9.655,10.294,10.965,50
C0117,L08,9.055,9.228,9.865,10.578,50
C0118,L08,9.296,9.518,10.27,11.05,50
C0119,L08,9.295,9.493,10.141,10.733,50
C0120,L08,8.65,8.85,9.443,10.127,50
C0121,L08,9.072,9.325,10.255,11.098,50
C0122,L08,9.051,9.275,9.98,10.794,50
C0123,L08,9.008,9.398,10.403,11.292,50
C0124,L08,9.515,9.739,10.422,11.078,50
C0125,L08,9.806,10.119,11.123,12.105,50
C0126,L08,9.479,9.585,10.019,10.49,50
C0127,L08,9.762,10.097,10.909,11.678,50
C0128,L08,8.97,9.205,10.075,10.79,50
C0129,L08,9.663,9.769,10.282,10.815,50
C0130,L08,9.453,9.68,10.311,10.748,50
C0131,L09,7.806,8.14,8.953,9.827,50
C0132,L09,7.43,7.734,8.583,9.285,50
C0133,L09,7.634,7.961,8.921,9.719,50
C0134,L09,7.142,7.393,8.236,9.037,50
C0135,L09,6.892,7.159,7.873,8.562,50
C0136,L09,7.737,8.043,9.019,10.063,50
C0137,L09,7.835,8.153,9.122,9.985,50
C0138,L09,7.543,7.903,8.867,9.658,50
C0139,L09,7.088,7.343,8.011,8.611,50
C0140,L09,7.038,7.378,8.394,9.322,50
C0141,L09,7.482,7.576,8.052,8.498,50
C0142,L09,7.19,7.425,7.99,8.506,50
C0143,L09,8.03,8.44,9.545,10.582,50
C0144,L09,7.797,8.076,8.93,9.621,50
C0145,L09,7.592,7.887,8.694,9.545,50
C0146,L09,7.289,7.648,8.528,9.491,50
C0147,L09,7.235,7.653,8.775,9.877,50
C0148,L09,7.267,7.559,8.204,8.873,50
C0149,L10,12.372,12.56,13.328,14.124,50
C0150,L10,11.927,12.11,12.813,13.471,50
C0151,L10,11.674,12.027,12.999,14.098,50
C0152,L10,12.288,12.574,13.42,14.34,50
C0153,L10,11.598,11.886,13.014,14.088,50
