component_id,lot_id,component_type,parameter,unit,value_0h,value_24h,value_96h,value_168h,datasheet_min,datasheet_max,temperature_c
ISRO-SAT-PWR-401-001,ISRO-LOT-2026A,Power MOSFET,Leakage Current,µA,10.12,10.28,10.65,11.02,0.0,50.0,125.0
ISRO-SAT-PWR-401-002,ISRO-LOT-2026A,Power MOSFET,Leakage Current,µA,9.85,10.05,10.42,10.88,0.0,50.0,125.0
ISRO-SAT-PWR-401-003,ISRO-LOT-2026A,Power MOSFET,Leakage Current,µA,10.02,10.22,10.58,11.15,0.0,50.0,125.0
ISRO-SAT-PWR-401-004,ISRO-LOT-2026A,Power MOSFET,Leakage Current,µA,9.91,10.15,10.51,10.95,0.0,50.0,125.0
ISRO-SAT-PWR-401-005,ISRO-LOT-2026A,Power MOSFET,Leakage Current,µA,10.35,10.62,11.10,11.55,0.0,50.0,125.0
ISRO-SAT-PWR-401-006,ISRO-LOT-2026A,Power MOSFET,Leakage Current,µA,24.50,28.20,34.10,42.80,0.0,50.0,125.0
ISRO-SAT-COM-501-007,ISRO-LOT-2026B,RF LNA,Leakage Current,µA,8.15,8.32,8.60,8.95,0.0,50.0,125.0
ISRO-SAT-COM-501-008,ISRO-LOT-2026B,RF LNA,Leakage Current,µA,8.02,8.20,8.55,8.88,0.0,50.0,125.0
ISRO-SAT-COM-501-009,ISRO-LOT-2026B,RF LNA,Leakage Current,µA,8.25,8.45,8.75,9.12,0.0,50.0,125.0
ISRO-SAT-COM-501-010,ISRO-LOT-2026B,RF LNA,Leakage Current,µA,8.10,8.30,8.62,8.98,0.0,50.0,125.0
ISRO-SAT-NAV-701-011,ISRO-LOT-2026C,Fiber Gyro,Leakage Current,µA,12.05,12.40,12.95,13.50,0.0,50.0,125.0
ISRO-SAT-NAV-701-012,ISRO-LOT-2026C,Fiber Gyro,Leakage Current,µA,11.95,12.25,12.80,13.40,0.0,50.0,125.0
ISRO-SAT-NAV-701-013,ISRO-LOT-2026C,Fiber Gyro,Leakage Current,µA,12.10,12.45,13.05,13.65,0.0,50.0,125.0
ISRO-SAT-NAV-701-014,ISRO-LOT-2026C,Fiber Gyro,Leakage Current,µA,15.50,19.20,28.80,48.50,0.0,50.0,125.0
ISRO-SAT-FC-301-015,ISRO-LOT-2026D,Flight DSP,Leakage Current,µA,14.00,14.30,14.85,15.40,0.0,50.0,125.0
ISRO-SAT-FC-301-016,ISRO-LOT-2026D,Flight DSP,Leakage Current,µA,13.85,14.15,14.70,15.25,0.0,50.0,125.0
ISRO-SAT-FC-301-017,ISRO-LOT-2026D,Flight DSP,Leakage Current,µA,14.10,14.40,14.95,15.50,0.0,50.0,125.0
ISRO-SAT-FC-301-018,ISRO-LOT-2026D,Flight DSP,Leakage Current,µA,28.50,36.20,46.10,54.80,0.0,50.0,125.0
